"stop_id","concat2_ub1bL58C24"
"acc_4_1_1","http://transport.linkeddata.es/madrid/metro/stops/plaza_de_castilla"
"acc_4_1_1040","http://transport.linkeddata.es/madrid/metro/stops/ascensor"
"acc_4_1_1043","http://transport.linkeddata.es/madrid/metro/stops/intercambiador_superficie"
"acc_4_1_1044","http://transport.linkeddata.es/madrid/metro/stops/ascensor"
"acc_4_1_2","http://transport.linkeddata.es/madrid/metro/stops/castellana_impares"
"acc_4_1_3","http://transport.linkeddata.es/madrid/metro/stops/bravo_murillo"
"acc_4_1_4","http://transport.linkeddata.es/madrid/metro/stops/paseo_castellana_pares"
"acc_4_1_773","http://transport.linkeddata.es/madrid/metro/stops/intercambiador"
"acc_4_10_34","http://transport.linkeddata.es/madrid/metro/stops/barcelo"
"acc_4_10_35","http://transport.linkeddata.es/madrid/metro/stops/fuencarral"
"acc_4_10_36","http://transport.linkeddata.es/madrid/metro/stops/tribunal_de_cuentas"
"acc_4_100_271","http://transport.linkeddata.es/madrid/metro/stops/avda._poblados"
"acc_4_100_272","http://transport.linkeddata.es/madrid/metro/stops/maqueda"
"acc_4_100_273","http://transport.linkeddata.es/madrid/metro/stops/acceso_renfe"
"acc_4_100_274","http://transport.linkeddata.es/madrid/metro/stops/maqueda"
"acc_4_100_275","http://transport.linkeddata.es/madrid/metro/stops/avda._poblados"
"acc_4_100_276","http://transport.linkeddata.es/madrid/metro/stops/terminal_autobuses"
"acc_4_100_277","http://transport.linkeddata.es/madrid/metro/stops/terminal_autobuses"
"acc_4_101_278","http://transport.linkeddata.es/madrid/metro/stops/padre_piquer"
"acc_4_102_279","http://transport.linkeddata.es/madrid/metro/stops/padre_piquer_pares"
"acc_4_102_280","http://transport.linkeddata.es/madrid/metro/stops/padre_piquer_impares"
"acc_4_103_281","http://transport.linkeddata.es/madrid/metro/stops/camino_de_campamento_s/n"
"acc_4_103_282","http://transport.linkeddata.es/madrid/metro/stops/ascensor"
"acc_4_104_1029","http://transport.linkeddata.es/madrid/metro/stops/ascensor_no1"
"acc_4_104_1030","http://transport.linkeddata.es/madrid/metro/stops/ascensor_no2"
"acc_4_104_1031","http://transport.linkeddata.es/madrid/metro/stops/ascensor_no3"
"acc_4_104_284","http://transport.linkeddata.es/madrid/metro/stops/alhambra_pares"
"acc_4_104_285","http://transport.linkeddata.es/madrid/metro/stops/alhambra_impares"
"acc_4_105_1033","http://transport.linkeddata.es/madrid/metro/stops/ascensor_exterior_no1"
"acc_4_105_1035","http://transport.linkeddata.es/madrid/metro/stops/nuestra_senora_de_valvanera_-_via_carpetana_-_ateca"
"acc_4_105_1036","http://transport.linkeddata.es/madrid/metro/stops/ascensor_exterior_no2"
"acc_4_105_286","http://transport.linkeddata.es/madrid/metro/stops/via_carpetana"
"acc_4_107_287","http://transport.linkeddata.es/madrid/metro/stops/portalegre_pares"
"acc_4_107_288","http://transport.linkeddata.es/madrid/metro/stops/portalegre_impares"
"acc_4_108_289","http://transport.linkeddata.es/madrid/metro/stops/avda._oporto_pares"
"acc_4_108_290","http://transport.linkeddata.es/madrid/metro/stops/pza._fernandez_ladreda"
"acc_4_108_291","http://transport.linkeddata.es/madrid/metro/stops/ascensor"
"acc_4_108_292","http://transport.linkeddata.es/madrid/metro/stops/marcelo_usera_pares"
"acc_4_108_293","http://transport.linkeddata.es/madrid/metro/stops/marcelo_usera_impares"
"acc_4_108_800","http://transport.linkeddata.es/madrid/metro/stops/acceso_intercambiador"
"acc_4_109_294","http://transport.linkeddata.es/madrid/metro/stops/amparo_usera"
"acc_4_109_295","http://transport.linkeddata.es/madrid/metro/stops/mirasierra"
"acc_4_109_806","http://transport.linkeddata.es/madrid/metro/stops/ascensor_exterior"
"acc_4_11_37","http://transport.linkeddata.es/madrid/metro/stops/gran_via"
"acc_4_11_38","http://transport.linkeddata.es/madrid/metro/stops/gran_via"
"acc_4_11_39","http://transport.linkeddata.es/madrid/metro/stops/fuencarral"
"acc_4_11_40","http://transport.linkeddata.es/madrid/metro/stops/montera"
"acc_4_111_296","http://transport.linkeddata.es/madrid/metro/stops/mendez_alvaro_impares"
"acc_4_111_297","http://transport.linkeddata.es/madrid/metro/stops/mendez_alvaro_pares"
"acc_4_111_299","http://transport.linkeddata.es/madrid/metro/stops/pedro_bosch"
